date,hour,da_price_prediction,residual_load
2025-04-25,20,34.112713,21449
2025-04-25,21,33.513496,22354
2025-04-25,22,32.155838,21227
2025-04-25,23,27.20843,18654
2025-04-25,24,25.900679,16099
2025-04-26,1,22.895382,14916
2025-04-26,2,22.774027,14751
2025-04-26,3,19.517172,13934
2025-04-26,4,17.003237,13053
2025-04-26,5,21.874985,12504
2025-04-26,6,20.342146,12432
2025-04-26,7,22.073929,13280
2025-04-26,8,22.684834,14063
2025-04-26,9,24.448761,13821
2025-04-26,10,26.436115,11627
2025-04-26,11,19.995228,8562
2025-04-26,12,18.450035,5806
2025-04-26,13,19.305668,5429
2025-04-26,14,16.709518,3603
2025-04-26,15,14.572423,4141
2025-04-26,16,18.478083,6421
2025-04-26,17,29.11686,9750
2025-04-26,18,27.478235,14096
2025-04-26,19,29.21678,17222
2025-04-26,20,33.179348,19030
2025-04-26,21,34.521446,19723
2025-04-26,22,27.097748,18703
2025-04-26,23,25.945337,16645
2025-04-26,24,21.444935,14418
2025-04-27,1,21.262709,13014
2025-04-27,2,17.869986,13044
2025-04-27,3,17.404022,12466
2025-04-27,4,17.477978,11811
2025-04-27,5,17.296865,11050
2025-04-27,6,19.350492,10578
2025-04-27,7,21.381166,10305
2025-04-27,8,16.75666,10408
2025-04-27,9,13.655262,9778
2025-04-27,10,22.829004,7801
2025-04-27,11,18.696342,5518
2025-04-27,12,21.317638,3607
2025-04-27,13,20.929518,4337
2025-04-27,14,17.581352,2877
2025-04-27,15,15.774903,3996
2025-04-27,16,25.368315,5707
2025-04-27,17,26.290148,9511
2025-04-27,18,30.254341,13809
2025-04-27,19,27.70697,17044
2025-04-27,20,30.385742,18552
2025-04-27,21,29.672003,19362
2025-04-27,22,25.624317,18192
2025-04-27,23,25.250536,15533
2025-04-27,24,23.254276,13440
2025-04-28,1,19.999748,12601
2025-04-28,2,18.180017,12473
2025-04-28,3,18.482447,11763
2025-04-28,4,17.585382,11089
2025-04-28,5,20.981617,10702
2025-04-28,6,26.676044,11411
2025-04-28,7,31.461653,14664
2025-04-28,8,29.973242,17422
2025-04-28,9,27.48435,13989
2025-04-28,10,26.862349,11014
2025-04-28,11,20.835562,7391
2025-04-28,12,23.095057,4957
2025-04-28,13,21.948704,4879
2025-04-28,14,19.34611,4473
2025-04-28,15,17.726477,4565
2025-04-28,16,28.269941,6285
2025-04-28,17,34.62461,10245
2025-04-28,18,32.335438,14418
2025-04-28,19,28.850027,17750
2025-04-28,20,35.43204,20015
2025-04-28,21,32.543255,21082
2025-04-28,22,29.387035,19538
2025-04-28,23,26.650318,16763
2025-04-28,24,25.240887,14058
2025-04-29,1,22.300003,13009
2025-04-29,2,21.375013,12851
2025-04-29,3,20.493343,12228
2025-04-29,4,21.25495,11212
2025-04-29,5,23.007917,10876
2025-04-29,6,27.316545,11603
2025-04-29,7,29.68025,14639
2025-04-29,8,27.550465,16391
2025-04-29,9,25.27185,13727
2025-04-29,10,28.508553,10376
2025-04-29,11,23.663952,6691
2025-04-29,12,25.381376,4807
2025-04-29,13,25.07676,4825
2025-04-29,14,21.867596,4585
2025-04-29,15,25.637058,4649
2025-04-29,16,29.925102,6012
2025-04-29,17,40.211697,10265
2025-04-29,18,30.309376,13714
2025-04-29,19,32.361744,16558
2025-04-29,20,35.085075,19464
2025-04-29,21,33.40544,20822
2025-04-29,22,29.17044,19641
2025-04-29,23,26.60688,16713
2025-04-29,24,23.510984,13898
